Date,Name,Value
2015-02-11T00:00:00,CHF,0.92911
2015-02-11T00:00:00,GBP,0.6566
2015-02-11T00:00:00,EUR,0.88536
2015-02-12T00:00:00,EUR,0.87656
2015-02-12T00:00:00,GBP,0.65025
2015-02-12T00:00:00,ILS,3.8871
2015-02-12T00:00:00,JPY,118.69
2015-02-12T00:00:00,CHF,0.92841
2015-02-13T00:00:00,ILS,3.8855
2015-02-13T00:00:00,GBP,0.64964
2015-02-13T00:00:00,JPY,118.68
2015-02-13T00:00:00,CHF,0.93111
2015-02-13T00:00:00,EUR,0.8766299999999999
2015-02-17T00:00:00,JPY,119.03
2015-02-17T00:00:00,EUR,0.87759
2015-02-17T00:00:00,GBP,0.65159
2015-02-17T00:00:00,ILS,3.8663
2015-02-17T00:00:00,CHF,0.93473
2015-02-18T00:00:00,CHF,0.94464
2015-02-18T00:00:00,EUR,0.88177
2015-02-18T00:00:00,GBP,0.64812
2015-02-18T00:00:00,JPY,119.19
2015-02-18T00:00:00,ILS,3.8656
2015-02-19T00:00:00,JPY,118.8
2015-02-19T00:00:00,GBP,0.64728
2015-02-19T00:00:00,CHF,0.94749
2015-02-19T00:00:00,EUR,0.8778100000000001
2015-02-19T00:00:00,ILS,3.8442
2015-02-20T00:00:00,JPY,118.65
2015-02-20T00:00:00,CHF,0.94221
2015-02-20T00:00:00,ILS,3.8575
2015-02-20T00:00:00,GBP,0.65003
2015-02-20T00:00:00,EUR,0.8794700000000001
2015-02-23T00:00:00,CHF,0.94972
2015-02-23T00:00:00,EUR,0.88151
2015-02-23T00:00:00,GBP,0.64672
2015-02-23T00:00:00,JPY,118.9
2015-02-23T00:00:00,ILS,3.9093
2015-02-24T00:00:00,CHF,0.95174
2015-02-24T00:00:00,EUR,0.88455
2015-02-24T00:00:00,GBP,0.6479699999999999
2015-02-24T00:00:00,JPY,119.12
2015-02-24T00:00:00,ILS,3.952
2015-02-25T00:00:00,ILS,3.9476
2015-02-25T00:00:00,EUR,0.8800899999999999
2015-02-25T00:00:00,JPY,118.84
2015-02-25T00:00:00,CHF,0.94997
2015-02-25T00:00:00,GBP,0.64528
2015-02-26T00:00:00,JPY,119.41
2015-02-26T00:00:00,EUR,0.89195
2015-02-26T00:00:00,CHF,0.95409
2015-02-26T00:00:00,ILS,3.9525
2015-02-26T00:00:00,GBP,0.6483300000000001
2015-02-27T00:00:00,CHF,0.95132
2015-02-27T00:00:00,EUR,0.89305
2015-02-27T00:00:00,ILS,3.9796
2015-02-27T00:00:00,JPY,119.69
2015-02-27T00:00:00,GBP,0.64771
2015-03-02T00:00:00,EUR,0.89376
2015-03-02T00:00:00,JPY,120.07
2015-03-02T00:00:00,CHF,0.95541
2015-03-02T00:00:00,GBP,0.65059
2015-03-02T00:00:00,ILS,3.9971
2015-03-03T00:00:00,CHF,0.9591
2015-03-03T00:00:00,ILS,3.9783
2015-03-03T00:00:00,EUR,0.8919100000000001
2015-03-03T00:00:00,GBP,0.64976
2015-03-03T00:00:00,JPY,119.5
2015-03-04T00:00:00,CHF,0.96419
2015-03-04T00:00:00,GBP,0.65508
